category,resume_text
UI/UX Designer,"UI/UX Designer with 10 years of experience. Skilled in Solidity, Elasticsearch, TensorFlow, FastAPI, Docker, Java, AWS. Experience with Agile, CI/CD, Scrum. Education: MBA."
Software Engineer,"Software Engineer with 1 years of experience. Skilled in Power BI, Hadoop, PostgreSQL, Airflow, MongoDB, Flask. Experience with GitHub Actions, Jenkins, Linux, Agile. Education: B.E. in IT."
UI/UX Designer,"UI/UX Designer with 6 years of experience. Skilled in Elasticsearch, Pandas, GCP, Python, Excel, Azure, Figma. Experience with Linux, Jira, Scrum. Education: MBA."
Mobile Developer,"Mobile Developer with 1 years of experience. Skilled in scikit-learn, React, Power BI, PostgreSQL, Elasticsearch. Experience with Agile, GitHub Actions, Ansible, Jenkins. Education: MBA."
Product Manager,"Product Manager with 2 years of experience. Skilled in Java, PostgreSQL, Azure, Elasticsearch, NumPy, Power BI, GCP. Experience with Linux, Jira, Ansible, Jenkins. Education: B.Des."
Software Engineer,"Software Engineer with 5 years of experience. Skilled in MongoDB, Kafka, Hadoop, Tableau. Experience with Microservices, Agile. Education: B.E. in IT."
Cybersecurity Analyst,"Cybersecurity Analyst with 7 years of experience. Skilled in C++, Excel, Docker, Solidity, Figma. Experience with Agile, Git, Terraform. Education: B.E. in IT."
Machine Learning Engineer,"Machine Learning Engineer with 4 years of experience. Skilled in Docker, Power BI, Kafka, SQL, Figma, Solidity, AWS. Experience with Jenkins, Jira. Education: B.E. in IT."
Cloud Engineer,"Cloud Engineer with 1 years of experience. Skilled in Power BI, Airflow, Docker, scikit-learn, AWS, Java, Spark. Experience with Linux, Microservices. Education: B.Tech in Computer Science."
UI/UX Designer,"UI/UX Designer with 4 years of experience. Skilled in Node.js, Kafka, Docker, Java, Flask, Hadoop. Experience with Jenkins, REST API. Education: MBA."
Mobile Developer,"Mobile Developer with 10 years of experience. Skilled in Solidity, Kubernetes, PostgreSQL, Spark, Hadoop, GraphQL, TensorFlow. Experience with Jira, Linux, GitHub Actions, Git. Education: MBA."
